Case Number,Date and Time,Day of Week,"Total
Number of
Victims",Victim Race,Victim Sex,"
Victim Type","Total
Number of
Offenders","Offender
Race",Offender Sex,Offense/ Crime,"Offense/ Crime
Location Type","Offense/Crime 
Bias
Motivation"
B17-18067,5/9/17 23:00,Tuesday,1,N/A,N/A,Religious,Unknown,Unknown,Unknown,Vandalism,Church,Anti-Other Christian
B17-21010,5/30/17 8:59,Wednesday,1,W,M,Individual,Unknown,Unknown,Unknown,Vandalism,Residence,Anti-Jewish
B17-23102,6/14/17 19:03,Wednesday,1,B,M,Individual,1,W,Male,Simple Assault,Residence,Anti-Black
B17-23612,6/17/17 21:03,Saturday,1,W,M,Individual,1,W,Male,Vandalism,Highway,Anti-Homosexual Male
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
